Python,Method,Size,mean,std
3.9.0rc1,httpclient,1000000128,893550917.1630808,749919.088748293
3.9.0rc1,httpclient-na,1000000128,3217193299.3938665,12305595.982988259
3.9.0rc1,requests,1000000128,523982390.2503365,653539.8351133041
3.9.0rc1,requests-c1M,1000000128,1041924523.2795871,952400.344247267
3.9.0rc1,requests-stream,1000000128,3210712211.138715,11797106.756684879
3.9.0rc1,requests-stream-fp-read,1000000128,3189186310.847065,26445507.615224373
3.9.0rc1,urllib3,1000000128,3234121524.7295585,9557445.246653616
3.9.0rc1,httpx,1000000128,642121506.1217302,772405.874861949
3.9.0rc1,socket-read,1000000128,3244742678.2802157,10567967.417322157
3.9.0rc1,socket-readinto,1000000128,1465815085.1004114,1656121.9387184365
