Python,Method,Size,mean,std
master,httpclient,1000000128,3181915960.333705,14844137.915347122
master,httpclient-na,1000000128,3146261076.3763285,19291454.28226539
master,requests,1000000128,586760467.976335,1206823.7958867468
master,requests-c1M,1000000128,1338405758.8978024,12083752.023199163
master,requests-stream-read,1000000128,3189794960.6586986,15470509.188772732
master,requests-stream-fp-read,1000000128,3212531151.533653,13337778.388301982
master,urllib3,1000000128,3219009675.681537,10922136.96081502
master,httpx,1000000128,658517675.2303481,2818827.38797559
master,socket-read,1000000128,3238275655.500991,13413536.979308827
master,socket-readinto,1000000128,1464829465.9733756,1731798.476586339
