Python,Method,Size,mean,std
PyPy 7.3.1,httpclient,1000000128,698868081.8936529,670406.1386875388
PyPy 7.3.1,httpclient-na,1000000128,914016165.4565988,595874.671184135
PyPy 7.3.1,requests,1000000128,646649118.7117864,329599.9335036907
PyPy 7.3.1,requests-c1M,1000000128,771823201.4383205,860148.2324724183
PyPy 7.3.1,requests-stream,1000000128,1196804168.6324399,875878.4824302014
PyPy 7.3.1,requests-stream-fp-read,1000000128,1192774877.932273,4364845.710770639
PyPy 7.3.1,urllib3,1000000128,785080211.6394117,4034111.4131666888
PyPy 7.3.1,tornado,1000000128,480744024.59765524,882327.0893044748
PyPy 7.3.1,aiohttp,1000000128,1090134990.9040008,4495491.83435405
PyPy 7.3.1,httpx,1000000128,711113977.9463935,2427251.3987909397
PyPy 7.3.1,socket-read,1000000128,977614038.5739876,1462841.4309942897
PyPy 7.3.1,socket-readinto,1000000128,966141007.4164561,924279.1778528789
